{'loss': 4.12822607421875, 'learning_rate': 4.959657898983379e-05, 'epoch': 0.16136840406648378, 'step': 1000}
{'loss': 3.95868603515625, 'learning_rate': 4.9193157979667584e-05, 'epoch': 0.32273680813296757, 'step': 2000}
{'loss': 3.8287890625, 'learning_rate': 4.878973696950138e-05, 'epoch': 0.48410521219945135, 'step': 3000}
{'loss': 3.776865234375, 'learning_rate': 4.8386315959335166e-05, 'epoch': 0.6454736162659351, 'step': 4000}
{'loss': 3.7439296875, 'learning_rate': 4.7982894949168954e-05, 'epoch': 0.8068420203324189, 'step': 5000}
{'loss': 3.6625703125, 'learning_rate': 4.757947393900274e-05, 'epoch': 0.9682104243989027, 'step': 6000}
{'loss': 3.641470703125, 'learning_rate': 4.7176052928836536e-05, 'epoch': 1.1295788284653865, 'step': 7000}
{'loss': 3.595716796875, 'learning_rate': 4.677263191867033e-05, 'epoch': 1.2909472325318703, 'step': 8000}
{'loss': 3.58526171875, 'learning_rate': 4.636921090850412e-05, 'epoch': 1.452315636598354, 'step': 9000}
{'loss': 3.5322578125, 'learning_rate': 4.5965789898337905e-05, 'epoch': 1.6136840406648378, 'step': 10000}
{'loss': 3.5173125, 'learning_rate': 4.55623688881717e-05, 'epoch': 1.7750524447313216, 'step': 11000}
{'loss': 3.514609375, 'learning_rate': 4.515894787800549e-05, 'epoch': 1.9364208487978054, 'step': 12000}
{'loss': 3.4946328125, 'learning_rate': 4.475552686783928e-05, 'epoch': 2.097789252864289, 'step': 13000}
{'loss': 3.44474609375, 'learning_rate': 4.435210585767307e-05, 'epoch': 2.259157656930773, 'step': 14000}
{'loss': 3.42597265625, 'learning_rate': 4.394868484750686e-05, 'epoch': 2.4205260609972568, 'step': 15000}
{'loss': 3.42729296875, 'learning_rate': 4.354526383734065e-05, 'epoch': 2.5818944650637405, 'step': 16000}
{'loss': 3.40448046875, 'learning_rate': 4.314184282717444e-05, 'epoch': 2.7432628691302243, 'step': 17000}
{'loss': 3.4016328125, 'learning_rate': 4.273842181700823e-05, 'epoch': 2.904631273196708, 'step': 18000}
{'loss': 3.343921875, 'learning_rate': 4.233500080684202e-05, 'epoch': 3.065999677263192, 'step': 19000}
{'loss': 3.333078125, 'learning_rate': 4.1931579796675815e-05, 'epoch': 3.2273680813296757, 'step': 20000}
{'loss': 3.3463671875, 'learning_rate': 4.15281587865096e-05, 'epoch': 3.3887364853961595, 'step': 21000}
{'loss': 3.3208203125, 'learning_rate': 4.112473777634339e-05, 'epoch': 3.5501048894626432, 'step': 22000}
{'loss': 3.3386171875, 'learning_rate': 4.0721316766177184e-05, 'epoch': 3.711473293529127, 'step': 23000}
{'loss': 3.3117265625, 'learning_rate': 4.031789575601098e-05, 'epoch': 3.872841697595611, 'step': 24000}
{'loss': 3.293140625, 'learning_rate': 3.9914474745844766e-05, 'epoch': 4.034210101662095, 'step': 25000}
{'loss': 3.2457421875, 'learning_rate': 3.9511053735678554e-05, 'epoch': 4.195578505728578, 'step': 26000}
{'loss': 3.274359375, 'learning_rate': 3.910763272551234e-05, 'epoch': 4.356946909795062, 'step': 27000}
{'loss': 3.2346328125, 'learning_rate': 3.870421171534614e-05, 'epoch': 4.518315313861546, 'step': 28000}
{'loss': 3.2516875, 'learning_rate': 3.830079070517993e-05, 'epoch': 4.67968371792803, 'step': 29000}
{'loss': 3.2393359375, 'learning_rate': 3.789736969501372e-05, 'epoch': 4.8410521219945135, 'step': 30000}
{'loss': 3.2150859375, 'learning_rate': 3.7493948684847505e-05, 'epoch': 5.002420526060997, 'step': 31000}
{'loss': 3.1965234375, 'learning_rate': 3.70905276746813e-05, 'epoch': 5.163788930127481, 'step': 32000}
{'loss': 3.198671875, 'learning_rate': 3.6687106664515094e-05, 'epoch': 5.325157334193965, 'step': 33000}
